Company Name Source,Company Name
8tracks,8tracks
AWA,AWA
Amazon AU BR MX Prime,Amazon
Amazon Cloud Drive - DE,Amazon
Amazon Cloud Drive - UK,Amazon
Amazon Cloud Drive - US,Amazon
Amazon DE Premium Service,Amazon
Amazon Disc on Demand,Amazon
Amazon ES Premium Service,Amazon
Amazon FR Premium Service,Amazon
Amazon IT Premium Service,Amazon
Amazon JP Premium Service,Amazon
Amazon MP3-DE,Amazon
Amazon MP3-JP,Amazon
Amazon MP3-UK,Amazon
Amazon Music,Amazon
Amazon Premium ROE,Amazon
Amazon UK Premium Service,Amazon
Amazon US Premium Service,Amazon
Apple Music,Apple Music
Apple iTunes,iTunes
Beats Music,Beats Music
Boomplay,Boomplay
Deezer,Deezer
Google Locker,Google
Google Music Store,Google
Groove,Groove
KDigital,KDigital
Last.fm,Last.fm
MediaNet,MediaNet
MixRadio,MixRadio
Muve Music,Muve Music
MySpace Music,MySpace Music
NetEase Cloud Music,NetEase Cloud Music
Napster,Napster
Napster (2008-2012),Napster
Omnifone,Omnifone
Pandora Premium,Pandora
Qobuz,Qobuz
Rdio,Rdio
Resso,Resso
Saavn,Saavn
Simfy,Simfy
SoundExchange,SoundExchange
Spotify,Spotify
Tencent Music Entertainment (TME),Tencent
Tidal,Tidal
TikTok,TikTok
United Media Agency (UMA),United Media Agency (UMA)
Yandex,Yandex
YouTube Music,YouTube Music
Youtube Content ID,Youtube
eMusic,eMusic
iTunes - Apple Music - Australia,Apple Music
iTunes - Apple Music - Canada,Apple Music
iTunes - Apple Music - Europe,Apple Music
iTunes - Apple Music - Hong Kong,Apple Music
iTunes - Apple Music - Indonesia,Apple Music
iTunes - Apple Music - Japan,Apple Music
iTunes - Apple Music - Mexico,Apple Music
iTunes - Apple Music - New Zealand,Apple Music
iTunes - Apple Music - Rest of World,Apple Music
iTunes - Apple Music - Russia,Apple Music
iTunes - Apple Music - Singapore,Apple Music
iTunes - Apple Music - Switzerland,Apple Music
iTunes - Apple Music – US,Apple Music
iTunes - Israel,iTunes
iTunes - Rest of World,iTunes
iTunes Apple -other territories,iTunes
iTunes Apple Music  Israel,Apple Music
iTunes Apple Music Thailand,Apple Music
iTunes Match,iTunes Match
iTunes Match - Americas,iTunes Match
iTunes Match - Australia,iTunes Match
iTunes Match - Canada,iTunes Match
iTunes Match - Denmark,iTunes Match
iTunes Match - Europe,iTunes Match
iTunes Match - Israel,iTunes Match
iTunes Match - Japan,iTunes Match
iTunes Match - Mexico,iTunes Match
iTunes Match - New Zealand,iTunes Match
iTunes Match - Rest of World,iTunes Match
iTunes Match - Sweden,iTunes Match
iTunes Match - UK,iTunes Match
iTunes Match - other territories,iTunes Match
iTunes Match - philippines,iTunes Match
iTunes Radio - Americas,iTunes Radio
iTunes- Apple Music - Taiwan,Apple Music
iTunes- Apple Music - United Kingdom,Apple Music
iTunes-Australia,iTunes
iTunes-Canada,iTunes
iTunes-Europe,iTunes
iTunes-Japan,iTunes
iTunes-Mexico,iTunes
iTunes-New Zealand,iTunes
amazon,Amazon
amazon unlimited,Amazon
applemusic,Apple
deezer,Deezer
google play all access,Google
itunes,iTunes
itunesmatch,iTunes Match
napster,Napster
netease,NetEase Cloud Music
saavn,Saavn
spotify,Spotify
tidal,Tidal
tiktok,TikTok
youtube,Youtube
youtube red,Youtube Red
