Partner Name,Company Name
8tracks,Other
Amazon AU BR MX Prime,Amazon
Amazon Cloud Drive - DE,Amazon
Amazon Cloud Drive - UK,Amazon
Amazon Cloud Drive - US,Amazon
Amazon DE Premium Service,Amazon
Amazon Disc on Demand,Amazon
Amazon ES Premium Service,Amazon
Amazon FR Premium Service,Amazon
Amazon IT Premium Service,Amazon
Amazon JP Premium Service,Amazon
Amazon MP3-DE,Amazon
Amazon MP3-JP,Amazon
Amazon MP3-UK,Amazon
Amazon Music,Amazon
Amazon Premium ROE,Amazon
Amazon UK Premium Service,Amazon
Amazon US Premium Service,Amazon
Apple iTunes,Apple
Apple Music,Apple
AWA,Other
Beats Music,Other
Boomplay,Other
Deezer,Deezer
eMusic,Other
Google Locker,Google
Google Music Store,Google
Groove,Other
iTunes - Apple Music - Australia,Apple
iTunes - Apple Music - Canada,Apple
iTunes - Apple Music - Europe,Apple
iTunes - Apple Music - Hong Kong,Apple
iTunes - Apple Music - Indonesia,Apple
iTunes - Apple Music - Japan,Apple
iTunes - Apple Music - Mexico,Apple
iTunes - Apple Music - New Zealand,Apple
iTunes - Apple Music - Rest of World,Apple
iTunes - Apple Music - Russia,Apple
iTunes - Apple Music - Singapore,Apple
iTunes - Apple Music - Switzerland,Apple
iTunes - Apple Music – US,Apple
iTunes - Israel,Apple
iTunes - Rest of World,Apple
iTunes Apple -other territories,Apple
iTunes Apple Music  Israel,Apple
iTunes Apple Music Thailand,Apple
iTunes Match,Apple
iTunes Match - Americas,Apple
iTunes Match - Australia,Apple
iTunes Match - Canada,Apple
iTunes Match - Denmark,Apple
iTunes Match - Europe,Apple
iTunes Match - Israel,Apple
iTunes Match - Japan,Apple
iTunes Match - Mexico,Apple
iTunes Match - New Zealand,Apple
iTunes Match - other territories,Apple
iTunes Match - philippines,Apple
iTunes Match - Rest of World,Apple
iTunes Match - Sweden,Apple
iTunes Match - UK,Apple
iTunes Radio - Americas,Apple
iTunes- Apple Music - Taiwan,Apple
iTunes- Apple Music - United Kingdom,Apple
iTunes-Australia,Apple
iTunes-Canada,Apple
iTunes-Europe,Apple
iTunes-Japan,Apple
iTunes-Mexico,Apple
iTunes-New Zealand,Apple
KDigital,Other
NetEase Cloud Music,Other
Last.fm,Other
MediaNet,Other
MixRadio,Other
Muve Music,Other
MySpace Music,Other
Napster,Other
Napster (2008-2012),Other
Omnifone,Other
Pandora Premium,Pandora
Qobuz,Qobuz
Rdio,Other
Resso,Other
Saavn,Other
Simfy,Other
SoundExchange,Other
Spotify,Spotify
Tencent Music Entertainment (TME),Tencent
Tidal,Tidal
TikTok,TikTok
United Media Agency (UMA),Other
Yandex,Yandex
Youtube Content ID,Youtube
YouTube Music,Youtube
